ID,headline,order,recalled,accuracy,Weightvar,accuracy_bool,recalled_bool,is_fake
1141122260,A,1,unsure,,0.7082671475447385,,False,True
1141122260,B,6,no,,0.7082671475447385,,False,True
1141122260,C,3,no,,0.7082671475447385,,False,True
1141122260,G,4,unsure,,0.7082671475447385,,False,False
1141122260,H,5,unsure,,0.7082671475447385,,False,False
1141122260,I,2,unsure,,0.7082671475447385,,False,False
1146768496,A,3,yes,not at all accurate,0.5854168269729577,False,True,True
1146768496,C,4,no,,0.5854168269729577,,False,True
1146768496,E,1,yes,very accurate,0.5854168269729577,True,True,True
1146768496,F,6,no,,0.5854168269729577,,False,False
1146768496,G,2,yes,very accurate,0.5854168269729577,True,True,False
1146768496,I,5,yes,not very accurate,0.5854168269729577,False,True,False
1143062614,A,1,yes,somewhat accurate,1.2739793619632778,True,True,True
1143062614,C,5,no,,1.2739793619632778,,False,True
1143062614,E,2,yes,somewhat accurate,1.2739793619632778,True,True,True
1143062614,H,4,no,,1.2739793619632778,,False,False
1143062614,I,3,yes,somewhat accurate,1.2739793619632778,True,True,False
1143062614,J,6,yes,somewhat accurate,1.2739793619632778,True,True,False
C1439717771,B,3,no,,1.514352776308446,,False,True
C1439717771,C,5,no,,1.514352776308446,,False,True
C1439717771,D,2,no,,1.514352776308446,,False,True
C1439717771,F,1,no,,1.514352776308446,,False,False
C1439717771,H,6,no,,1.514352776308446,,False,False
C1439717771,K,4,yes,not very accurate,1.514352776308446,False,True,False
C1439718289,B,1,no,,0.6976801810849479,,False,True
C1439718289,C,2,no,,0.6976801810849479,,False,True
C1439718289,D,3,no,,0.6976801810849479,,False,True
C1439718289,F,6,no,,0.6976801810849479,,False,False
C1439718289,H,4,unsure,,0.6976801810849479,,False,False
C1439718289,J,5,no,,0.6976801810849479,,False,False
1001060750,B,2,unsure,,1.4986349055644117,,False,True
1001060750,D,6,unsure,,1.4986349055644117,,False,True
1001060750,E,3,unsure,,1.4986349055644117,,False,True
1001060750,F,5,unsure,,1.4986349055644117,,False,False
1001060750,G,1,unsure,,1.4986349055644117,,False,False
1001060750,I,4,unsure,,1.4986349055644117,,False,False
1147306114,A,3,unsure,,0.6002946756256891,,False,True
1147306114,B,4,yes,somewhat accurate,0.6002946756256891,True,True,True
1147306114,E,6,no,,0.6002946756256891,,False,True
1147306114,F,5,no,,0.6002946756256891,,False,False
